University,Tier,Category,Program,US_News_CS_Rank,Acceptance_Rate,Deadlines,Application_Fee,Tuition_Per_Year,Living_Costs_Yearly,Total_Cost_2Years,Placement_Rate,Avg_Starting_Salary,ROI_5Year,Requirements,Expected_Qualities,Apply_Link
UT Austin,Dream,Self Apply,MS CS,7,9%,Dec 15 2024,$90,$40000,$40000,$120000,95%,$120000,$416000,"GRE (optional), IELTS, 3 LORs, SOP","Strong CS background, Research experience, 3.0+ GPA",https://enterprise.login.utexas.edu/idp/profile/SAML2/Redirect/SSO?execution=e2s1
University of Michigan Ann Arbor,Dream,Self Apply,MS DS,10,5.3%,Jan 15 2025,$90,$40000,,,,,,"GRE (optional), IELTS, 3 LORs, SOP, Grade out of 5",,https://www.applyweb.com/forms/umgrad
University of Wisconsin-Madison,Dream,Self Apply,MS DS,13,50%,Feb 15 2025,$75,,,,,,,"GRE (Not Required), IELTS, 3 LORs, SOP",,https://gradapply.wisc.edu/apply/
University of MaryLand College Park,Dream,Self Apply,MS DS,17,52%,Feb 28 2025,$75,$40000,,,,,,"GRE (optional), IELTS, 3 LORS, SOP",,https://terpengage.umd.edu/community/CustomLoginPage?GradApp=True
UC Irvine,Dream,Self Apply,MS DS,27,17%,Dec 15 2024,$155,$50000,$50000,$150000,,,,"GRE (Not Required), IELTS 7, 3 LORs, SOP",,https://apply.grad.uci.edu/apply/
Universit Of Virginia,Target,Self Apply,MS DS,36,35%,Jan 6 2025,,"$51,685",,,,,,,,https://applycentral.virginia.edu/apply/
Texas A&M University College Station,Target,Self Apply,MS DS,45,63%,Jan 15 2025,$65,$19000,$15000,$68000,88%,$108000,$372000,"GRE (optional), IELTS, 3 LORs, SOP","Statistics background, 3.0+ GPA, Programming skills",https://texasam2025.liaisoncas.com/applicant-ux/#/dashboard
University of Florida,Target,Self Apply,MS AIS,47,50%,Jan 1 2025,$30,$30134,$15000,$100000,92%,$105000,$360000,"GRE Not Required, IELTS, 3 LORs, SOP","Programming skills, 3.0+ GPA, Project experience",https://www.applyweb.com/cgi-bin/ustat?formcode=uflgrad
University of Illinois Chicago,Safe,IDP Consultancy,MS CS,61,48%,June 15 2024,$0,$21000,$18000,$78000,82%,$98000,$312000,"GRE (optional), TOEFL(80), 3 LORs, SOP","Strong academic record, 3.0+ GPA, Research/Project experience",https://admissions.uic.edu/graduate-professional/apply
San Jose State University,Safe,IDP Consultancy,MS CS,Regional,55%,May 1 2024,$0,$17500,$25000,$85000,80%,$105000,$315000,"GRE (optional), TOEFL(80), 2 LORs, SOP","Technical skills, 3.0+ GPA, Industry experience preferred",https://www.sjsu.edu/admissions/graduate/want-to-apply
